0.1446	20.9665	26.68	-5.98682e+06	2	20.9665
0.2865	21.5019	34.8325	-1.47321e+07	2	21.5019
0.4622	25.725	44.4438	-1.82609e+07	2	25.725
0.641	32.673	51.089	-1.91716e+07	2	32.673
0.8074	39.766	56.3094	-1.98771e+07	2	39.766
1.096	45.915	64.3305	-2.40054e+07	2	45.915
1.437	55.279	73.1105	-2.66844e+07	2	55.279
1.853	64.41	80.4432	-3.03476e+07	2	64.41
2.293	73.2	88.2198	-3.38047e+07	2	73.2
2.597	80.33	92.8182	-3.53876e+07	2	80.33
3.078	84.24	95.7233	-4.04608e+07	2	84.24
3.461	89.06	97.0096	-4.30235e+07	2	89.06
3.841	91.9	99.5	-4.60733e+07	2	91.9
4.324	94.03	100.8	-5.00841e+07	2	94.03
4.803	95.9	101.4	-5.35977e+07	2	95.9
5.283	97.01	102.1	-5.70713e+07	2	97.01
5.731	97.52	103.1	-6.02821e+07	2	97.52
6.763	97.53	105.5	-6.73493e+07	2	97.53
8.236	96.38	109	-7.64028e+07	2	96.38
9.708	93	117.1	-8.58861e+07	2	93
11.19	88.83	118.9	-9.54446e+07	2	88.83
12.65	84.59	117.9	-1.0475e+08	2	84.59
14.12	80.6	119.9	-1.1378e+08	2	80.6
15.59	76.84	123.2	-1.22608e+08	2	76.84
17.07	73.289	130.6	-1.31417e+08	2	73.289
18.54	69.97	135.7	-1.40108e+08	2	69.97
19	68.7523	135.7	-1.43291e+08	2	68.7523
20.5	66.1892	135.7	-1.5095e+08	2	66.1892
22	63.8929	135.7	-1.58261e+08	2	63.8929
23.5	61.8202	135.7	-1.65261e+08	2	61.8202
25	59.9369	135.7	-1.71987e+08	2	59.9369
26.5	58.2158	135.7	-1.78467e+08	2	58.2158
50.5	42.1714	135.7	-2.60347e+08	2	42.1714
