0.423	162.462	59.542	-2.90E+07	7.624	162.462	59.966
0.915	213.71	119.261	-1.79E+07	9.742	213.71	215.828
1.516	245.052	178.98	3.61E+07	12.283	245.052	235.311
2.008	264.111	212.44	8.63E+07	16.094	264.111	253.099
2.555	266.23	221.334	1.45E+08	20.33	266.23	262.417
3.102	264.264	237.428	2.01E+08	13.13	264.264	264.959
3.703	266.708	249.711	2.53E+08	7.624	266.708	268.347
4.195	265.515	250.982	2.98E+08	4.235	265.515	266.653
4.687	263.124	253.523	3.37E+08	5.082	263.124	264.111
5.233	259.792	256.911	3.78E+08	5.506	259.792	261.994
5.78	254.124	256.911	4.19E+08	5.506	254.124	258.605
6.327	251.33	257.335	4.53E+08	5.082	251.33	257.335
7.365	246.225	257.335	5.11E+08	4.659	246.225	253.523
8.513	234.318	255.217	5.83E+08	5.083	234.318	246.746
9.552	229.158	248.441	6.29E+08	5.929	229.158	243.358
10.7	225.533	247.17	6.74E+08	6.353	225.533	242.087
11.739	223.659	246.323	7.07E+08	5.929	223.659	242.087
12.832	221.06	244.629	7.42E+08	5.506	221.06	242.087
13.925	218.096	242.087	7.77E+08	4.659	218.096	242.087
14.964	215.002	238.699	8.11E+08	2.965	215.002	241.664
16.002	210.036	236.158	8.51E+08	3.388	210.036	239.97
17.096	207.132	233.193	8.84E+08	2.965	207.132	239.97
18.244	204.785	234.04	9.14E+08	3.812	204.785	241.24
19.282	205.217	236.158	9.30E+08	3.812	205.217	243.358
20.321	205.131	237.005	9.48E+08	3.388	205.131	245.476
21.414	202.876	237.852	9.76E+08	3.812	202.876	246.323
22.507	201.329	240.393	1.00E+09	2.965	201.329	246.323
23.655	196.82	237.852	1.04E+09	3.812	196.82	245.052
24.585	192.262	237.005	1.08E+09	2.965	192.262	243.782
25.733	185.975	235.734	1.13E+09	3.812	185.975	241.24
26.771	180.706	237.852	1.18E+09	3.812	180.706	238.276
27.919	174.924	239.546	1.23E+09	2.965	174.924	236.158
28.903	170.372	239.546	1.27E+09	2.965	170.372	234.04
29.942	166.002	241.664	1.31E+09	3.388	166.002	232.346
31.0717	162.035	236.158	1.36E+09	3.812	162.035	231.075
32.2013	159.73	236.158	1.38E+09	5.082	159.73	230.228
33.167	155.715	239.546	1.43E+09	4.659	155.715	228.958
34.2967	152.765	236.581	1.46E+09	5.083	152.765	228.534
35.3173	150.302	241.24	1.49E+09	7.201	150.302	228.534
36.502	148.313	237.852	1.52E+09	9.318	148.313	228.111
