0.1446	20.9665
0.2865	2.15E+01
0.4622	2.57E+01
0.641	3.27E+01
0.8074	3.98E+01
1.096	4.59E+01
1.437	5.53E+01
1.853	6.44E+01
2.293	7.32E+01
2.597	8.03E+01
3.078	8.42E+01
3.461	8.91E+01
3.841	9.19E+01
4.324	9.40E+01
4.803	9.59E+01
5.283	9.70E+01
5.731	9.75E+01
6.763	9.75E+01
8.236	9.64E+01
9.708	9.30E+01
11.19	8.88E+01
12.65	8.46E+01
14.12	8.06E+01
15.59	7.68E+01
17.07	7.33E+01
18.54	7.00E+01
19	6.88E+01
20.5	6.62E+01
22	6.39E+01
23.5	6.18E+01
25	5.99E+01
26.5	5.82E+01
28	5.66E+01
29.5	5.52E+01
31	5.38E+01
32.5	5.26E+01
34	5.14E+01
35.5	5.03E+01
37	4.93E+01
38.5	4.83E+01
40	4.74E+01
41.5	4.65E+01
43	4.57E+01
44.5	4.49E+01
46	4.42E+01
47.5	4.35E+01
49	4.28E+01
50.5	4.22E+01
52	4.16E+01
53.5	4.10E+01
55	4.04E+01
56.5	3.99E+01
58	3.94E+01
59.5	3.89E+01
61	3.84E+01
62.5	3.79E+01
64	3.75E+01
65.5	3.70E+01
67	3.66E+01
68.5	3.62E+01
70	3.58E+01
71.5	3.54E+01
73	3.51E+01
74.5	3.47E+01
76	3.44E+01
77.5	3.40E+01
79	3.37E+01
80.5	3.34E+01
82	3.31E+01
83.5	3.28E+01
85	3.25E+01
86.5	3.22E+01
88	3.19E+01
89.5	3.17E+01
91	3.14E+01
92.5	3.12E+01
94	3.09E+01
95.5	3.07E+01
97	3.04E+01
98.5	3.02E+01
100	3.00E+01
101.5	2.97E+01
103	2.95E+01
104.5	2.93E+01
106	2.91E+01
107.5	2.89E+01
109	2.87E+01
110.5	2.85E+01
112	2.83E+01
113.5	2.81E+01
115	2.79E+01
116.5	2.78E+01
