0.1446	20.9665	96.859
0.2865	21.5	102.801
0.4622	25.7	110.327
0.641	32.7	118.645
0.8074	39.8	119.833
1.096	45.9	134.489
1.437	55.3	140.827
1.853	64.4	145.976
2.293	73.2	148.749
2.597	80.3	150.174
3.078	84.2	151.918
3.461	89.1	152.71
3.841	91.9	153.898
4.324	94	154.691
4.803	95.9	155.483
5.283	97	155.483
5.731	97.5	155.879
6.763	97.5	155.087
8.236	96.4	152.314
9.708	93	147.955
11.19	88.8	142.41
12.65	84.6	136.864
14.12	80.6	130.527
15.59	76.8	124.981
17.07	73.3	119.04
18.54	70	114.286
19	68.8	112.306
20.5	66.2	107.822
22	63.9	104.081
23.5	61.8	100.705
25	59.9	97.6371
26.5	58.2	94.8335
28	56.6	92.2584
29.5	55.2	89.8822
31	53.8	87.6807
32.5	52.6	85.6334
34	51.4	83.7231
35.5	50.3	81.9352
37	49.3	80.2572
38.5	48.3	78.6782
40	47.4	77.1889
41.5	46.5	75.7811
43	45.7	74.4476
44.5	44.9	73.1821
46	44.2	71.979
47.5	43.5	70.8334
49	42.8	69.7408
50.5	42.2	68.6972
52	41.6	67.6991
53.5	41	66.7433
55	40.4	65.8269
56.5	39.9	64.9472
58	39.4	64.1019
59.5	38.9	63.2887
61	38.4	62.5057
62.5	37.9	61.7511
64	37.5	61.0232
65.5	37	60.3204
67	36.6	59.6413
68.5	36.2	58.9847
70	35.8	58.3493
71.5	35.4	57.734
73	35.1	57.1378
74.5	34.7	56.5596
76	34.4	55.9987
77.5	34	55.4541
79	33.7	54.9251
80.5	33.4	54.411
82	33.1	53.911
83.5	32.8	53.4246
85	32.5	52.9511
86.5	32.2	52.49
88	31.9	52.0407
89.5	31.7	51.6028
91	31.4	51.1757
92.5	31.2	50.7591
94	30.9	50.3525
95.5	30.7	49.9555
97	30.4	49.5677
98.5	30.2	49.1888
100	30	48.8185
101.5	29.7	48.4565
103	29.5	48.1023
104.5	29.3	47.7558
106	29.1	47.4167
107.5	28.9	47.0848
109	28.7	46.7597
110.5	28.5	46.4412
112	28.3	46.1292
113.5	28.1	45.8233
115	27.9	45.5235
116.5	27.8	45.2295
