0.1446	20.9665
0.2865	21.5019
0.4622	25.725
0.641	32.673
0.8074	39.766
1.096	45.915
1.437	55.279
1.853	64.41
2.293	73.2
2.597	80.33
3.078	84.24
3.461	89.06
3.841	91.9
4.324	94.03
4.803	95.9
5.283	97.01
5.731	97.52
6.763	97.53
8.236	96.38
9.708	93
11.19	88.83
12.65	84.59
14.12	80.6
15.59	76.84
17.07	73.289
18.54	69.97
19	68.7523115
20.5	66.189206422	63.8929240623.5	61.8201669225	59.9368755926.5	58.215839950.5	42.17143851
100	29.9684378
120	27.35731566
520	13.14202935
920	9.880301351
1120	8.954783558
1320	8.248541028
1520	7.686742106
1720	7.2260320
1920	6.8393289
2120	6.508728769
2320	6.221858243
2520	5.969855705
2720	5.74618564
2920	5.545908229
3120	5.365211015
3320	5.201098308
3520	5.05117916
3720	4.913518941
3920	4.78653315
4120	4.668909937
4320	4.55955261
4520	4.457536285
4720	4.362074767
4920	4.272494901
5120	4.188216506
5320	4.108736483
5520	4.033616136
5720	3.962470939
5920	3.894962235
6120	3.830790427
6320	3.769689374
6520	3.711421734
6720	3.655775079
6920	3.602558628
7120	3.551600494
7320	3.50274534
7520	3.45585239
7720	3.410793717
7920	3.367452774
8120	3.325723122
8320	3.285507337
8520	3.246716044
8720	3.209267086
8920	3.17308479
9120	3.138099324
9320	3.10424613
9520	3.071465421
9720	3.03970174
1009870	0.299801639
2009870	0.211387898
3009870	0.172738934
4009870	0.149657663
5009870	0.133890843
6009870	0.12224513
7009870	0.113190277
8009870	0.105889128
9009870	0.099840062
10009870	0.09472178
