x	y
0.628	128.164
1.287	165.398
1.946	182.537
2.605	193.175
3.264	197.903
3.923	200.267
4.582	197.903
5.242	191.402
5.901	184.310
6.519	178.991
7.178	174.263
7.837	168.944
8.496	164.216
9.196	160.079
9.814	155.941
10.473	152.395
11.133	148.849
11.792	145.303
12.451	142.348
13.110	139.984
13.769	137.029
14.428	134.665
15.087	132.301
15.705	129.937
16.364	127.573
17.024	125.800
17.683	124.027
18.342	122.254
19.001	120.481
19.660	119.299
20.319	118.117
20.978	118.117
21.637	118.117
22.008	118.117
