0.1446	20.9665	96.859
0.2865	21.5019	102.801
0.4622	25.725	110.327
0.641	32.673	118.645
0.8074	39.766	119.833
1.096	45.915	134.489
1.437	55.279	140.827
1.853	64.41	145.976
2.293	73.2	148.749
2.597	80.33	150.174
3.078	84.24	151.918
3.461	89.06	152.71
3.841	91.9	153.898
4.324	94.03	154.691
4.803	95.9	155.483
5.283	97.01	155.483
5.731	97.52	155.879
6.763	97.53	155.087
8.236	96.38	152.314
9.708	93	147.955
11.19	88.83	142.41
12.65	84.59	136.864
14.12	80.6	130.527
15.59	76.84	124.981
17.07	73.289	119.04
18.54	69.97	114.286
19	68.7523	112.306
20.5	66.1892	107.822
22	63.8929	104.081
23.5	61.8202	100.705
25	59.9369	97.6371
26.5	58.2158	94.8335
28	56.635	92.2584
29.5	55.1764	89.8822
31	53.8249	87.6807
32.5	52.5681	85.6334
34	51.3954	83.7231
35.5	50.2979	81.9352
37	49.2678	80.2572
38.5	48.2985	78.6782
40	47.3843	77.1889
41.5	46.52	75.7811
43	45.7014	74.4476
44.5	44.9246	73.1821
46	44.1861	71.979
47.5	43.4828	70.8334
49	42.8121	69.7408
50.5	42.1714	68.6972
52	41.5587	67.6991
53.5	40.972	66.7433
55	40.4094	65.8269
56.5	39.8694	64.9472
58	39.3505	64.1019
59.5	38.8513	63.2887
61	38.3707	62.5057
62.5	37.9074	61.7511
64	37.4605	61.0232
65.5	37.0291	60.3204
67	36.6123	59.6413
68.5	36.2092	58.9847
70	35.8191	58.3493
71.5	35.4414	57.734
73	35.0754	57.1378
74.5	34.7205	56.5596
76	34.3762	55.9987
77.5	34.0419	55.4541
79	33.7171	54.9251
80.5	33.4015	54.411
82	33.0946	53.911
83.5	32.796	53.4246
85	32.5053	52.9511
86.5	32.2223	52.49
88	31.9465	52.0407
89.5	31.6776	51.6028
91	31.4155	51.1757
92.5	31.1597	50.7591
94	30.9101	50.3525
95.5	30.6664	49.9555
97	30.4283	49.5677
98.5	30.1958	49.1888
100	29.9684	48.8185
